X longitude,Y Latitude,ID,Nama Objek,Alamat,Kontak,Type,Desa,Kecamatan,Kabupaten,Prov,Master_category
-7.81853300000,110.36227500000,3471010003,Cantika Salon &amp; Spa Muslimah Jogja,"JL DI. Panjaitan, No. 43, Yogyakarta, DI Yogyakarta",0274 661 5246,Salon & Spa,Mantrijeron,Mantrijeron,Kota Yogyakarta,Daerah Istimewa Yogyakarta,Health
-7.82019800000,110.36351300000,3471010003,Klinik RB Mangkuyudan,"JL Mangkuyudan MJ III, No. 304, Mantrijeron, Yogyakarta, DI Yogyakarta",0274 710 3752,Clinic,Mantrijeron,Mantrijeron,Kota Yogyakarta,Daerah Istimewa Yogyakarta,Health
-7.81799800000,110.36775100000,3471010003,Outlet Jamu Iboe - Yogyakarta,"Toko Obat Panji Husada, JL. Parangtritis, No. 80, Yogyakarta, DI Yogyakarta",0274 379 081,Pharmacy,Mantrijeron,Mantrijeron,Kota Yogyakarta,Daerah Istimewa Yogyakarta,Health
-7.80820792383,110.35338134200,3471010001,Wini Salon,"JL. Letnan Jenderal S Parman, 85, Yogyakarta, DI Yogyakarta",0274 376 549,Salon & Spa,Gedongkiwo,Mantrijeron,Kota Yogyakarta,Daerah Istimewa Yogyakarta,Health
-7.81527686813,110.35639618800,3471010002,Apotik Japisfi,"JL Bantul, Km. 5, Yogyakarta, DI Yogyakarta",0274 744 7738,Pharmacy,Suryodiningratan,Mantrijeron,Kota Yogyakarta,Daerah Istimewa Yogyakarta,Health
-7.81862000000,110.36231721900,3471010003,Dr. H. Soeharso Binatu,"JL. DI. Panjaitan, Yogyakarta",274 377 893,Clinic,Mantrijeron,Mantrijeron,Kota Yogyakarta,Daerah Istimewa Yogyakarta,Health
-7.81910300000,110.35545200000,3471010002,Embun Apotik,"JL. Bantul, Km 10, Yogyakarta, DI Yogyakarta",0274 7858 769,Pharmacy,Suryodiningratan,Mantrijeron,Kota Yogyakarta,Daerah Istimewa Yogyakarta,Health
-7.81820000000,110.36506572300,3471010003,RS THT Sari Asih,"JL. Tirtodipuran, yogyakarta",274 387 664,Hospital,Mantrijeron,Mantrijeron,Kota Yogyakarta,Daerah Istimewa Yogyakarta,Health
-7.81815991550,110.35589944900,3471010002,Arum Beauty Centre,"JL. Bantul KM. 8, Ndiro, Yogyakarta, DI Yogyakarta",0812 2798 717,Salon & Spa,Suryodiningratan,Mantrijeron,Kota Yogyakarta,Daerah Istimewa Yogyakarta,Health
-7.82372617319,110.36245472500,3471010003,Klinik dr. Nike,"JL. Jogokaryan, No. 74, Yogyakarta, DI Yogyakarta",0274 377 686,Clinic,Mantrijeron,Mantrijeron,Kota Yogyakarta,Daerah Istimewa Yogyakarta,Health
